Time (NPT),Temperature (Celsius),Relative Humidity,col3,col4,col5,Weather,Precipitation,Missing
2025-10-24 02:00:00,-13.06,10.49,22.74,8.38,462.1,,0.0,True
2025-10-24 03:00:00,-10.94,9.29,523.3,4.457,462.4,,0.0,True
2025-10-24 04:00:00,-9.84,10.52,720.6,6.958,463,,2.5,True
2025-10-24 05:00:00,-9.46,8.51,864.0,3.474,462.7,,0.0,True
2025-10-24 06:00:00,-9.61,12.42,914.0,9.05,462.4,,5.6,True
2025-10-24 07:00:00,-8.63,14.45,897.0,6.25,NAN,,0.0,True
2025-10-24 08:00:00,-9.82,12.83,802.0,6.486,461.7,,0.2,True
2025-10-24 09:00:00,-8.78,9.43,649.3,7.847,461.5,,1.4,True
2025-10-24 10:00:00,-10.9,12.64,45.72,6.048,461.3,,0.0,True
2025-10-24 11:00:00,-10.27,13.28,21.94,5.217,460.9,,0.0,True
2025-10-24 12:00:00,-12.95,22.91,-5.06,7.069,461.4,,1.9,True
2025-10-24 13:00:00,-13.38,23.93,-4.88,3.801,461.5,,0.0,True
2025-10-24 14:00:00,-12.67,20.08,-4.18,6.614,461.8,,2.8,True
2025-10-24 15:00:00,-13.1,20.14,-4.23,8.09,462.1,,1.5,True
2025-10-24 16:00:00,-13.11,19.32,-4.46,7.389,462.3,,0.0,True
2025-10-24 17:00:00,-14.14,17.36,-5.34,5.864,462.3,,0.0,True
2025-10-24 18:00:00,-12.54,11.54,-4.52,8.78,462.2,,2.9,True
2025-10-24 19:00:00,-12.15,8.48,-4.64,8.95,461.8,,0.2,True
2025-10-24 20:00:00,-12.97,10.46,-4.2,7.097,461.9,,0.0,True
2025-10-24 21:00:00,-12.99,10.25,-4.2,6.481,NAN,,0.0,True
2025-10-24 22:00:00,-12.58,9.89,-4.26,7.394,460.9,,0.9,True
2025-10-24 23:00:00,-13.07,12.21,-4.78,7.636,460.8,,0.2,True
2025-10-25 00:00:00,-13.42,11.6,-4.55,9.0,NAN,,1.4,True
